BRA10477,Average=None,QualityFlag=FALSE,QualityValue=FALSE
DateTime,MP1\QFINAL,MP1\QCONTINUITY,MP1\QUANTITY
MM/dd/yyyy h:mm:ss tt,MGD,MGD,MGD
06/17/2024 03:00:00 PM,13.25381942,13.25381942,13.25381942
06/17/2024 04:00:00 PM,13.22589258,13.22589258,13.22589258
06/17/2024 05:00:00 PM,13.33231455,13.33231455,13.33231455
06/17/2024 06:00:00 PM,14.84282185,14.84282185,14.84282185
06/17/2024 07:00:00 PM,15.03402912,15.03402912,15.03402912
06/17/2024 08:00:00 PM,15.33223757,15.33223757,15.33223757
06/17/2024 09:00:00 PM,15.74315989,15.74315989,15.74315989
06/17/2024 10:00:00 PM,14.96083172,14.96083172,14.96083172
06/17/2024 11:00:00 PM,12.65346686,12.65346686,12.65346686
06/18/2024 12:00:00 AM,9.71974168,9.71974168,9.71974168
06/18/2024 01:00:00 AM,7.374990443,7.374990443,7.374990443
06/18/2024 02:00:00 AM,7.002320459,7.002320459,7.002320459
06/18/2024 03:00:00 AM,6.21604687,6.21604687,6.21604687
06/18/2024 04:00:00 AM,5.871811875,5.871811875,5.871811875
06/18/2024 05:00:00 AM,5.951762086,5.951762086,5.951762086
06/18/2024 06:00:00 AM,8.099619527,8.099619527,8.099619527
06/18/2024 07:00:00 AM,11.1732112,11.1732112,11.1732112
06/18/2024 08:00:00 AM,13.80906528,13.80906528,13.80906528
06/18/2024 09:00:00 AM,14.12664642,14.12664642,14.12664642
06/18/2024 10:00:00 AM,13.75532064,13.75532064,13.75532064
06/18/2024 11:00:00 AM,13.75757551,13.75757551,13.75757551
06/18/2024 12:00:00 PM,14.38619927,14.38619927,14.38619927
06/18/2024 01:00:00 PM,14.68793958,14.68793958,14.68793958
06/18/2024 02:00:00 PM,13.80898433,13.80898433,13.80898433
06/18/2024 03:00:00 PM,12.93627902,12.93627902,12.93627902
06/18/2024 04:00:00 PM,13.27529693,13.27529693,13.27529693
06/18/2024 05:00:00 PM,13.61090199,13.61090199,13.61090199
06/18/2024 06:00:00 PM,14.5601756,14.5601756,14.5601756
06/18/2024 07:00:00 PM,15.55893749,15.55893749,15.55893749
06/18/2024 08:00:00 PM,15.05424501,15.05424501,15.05424501
06/18/2024 09:00:00 PM,15.332707,15.332707,15.332707
06/18/2024 10:00:00 PM,14.69021585,14.69021585,14.69021585
06/18/2024 11:00:00 PM,12.65228197,12.65228197,12.65228197
06/19/2024 12:00:00 AM,10.09337441,10.09337441,10.09337441
06/19/2024 01:00:00 AM,8.03794019,8.03794019,8.03794019
06/19/2024 02:00:00 AM,6.323338498,6.323338498,6.323338498
06/19/2024 03:00:00 AM,6.420914001,6.420914001,6.420914001
06/19/2024 04:00:00 AM,5.849092164,5.849092164,5.849092164
06/19/2024 05:00:00 AM,6.189943484,6.189943484,6.189943484
06/19/2024 06:00:00 AM,7.26597882,7.26597882,7.26597882
06/19/2024 07:00:00 AM,11.09557695,11.09557695,11.09557695
06/19/2024 08:00:00 AM,13.17375565,13.17375565,13.17375565
06/19/2024 09:00:00 AM,13.61712411,13.61712411,13.61712411
06/19/2024 10:00:00 AM,14.69357146,14.69357146,14.69357146
06/19/2024 11:00:00 AM,14.41513561,14.41513561,14.41513561
06/19/2024 12:00:00 PM,14.28756984,14.28756984,14.28756984
06/19/2024 01:00:00 PM,14.25304589,14.25304589,14.25304589
06/19/2024 02:00:00 PM,13.69393213,13.69393213,13.69393213
06/19/2024 03:00:00 PM,13.72328258,13.72328258,13.72328258
06/19/2024 04:00:00 PM,13.37507158,13.37507158,13.37507158
