"CMMS_ASSET_ID","STREET_NAME","STREET_NUMBER","PI_TAG","bad_tag","TR_PLANT","BASIN","AREA_FT2","STATION_NAME","TEMPLATE"
"LS-001941","SALISBURY RD","6903","SOUTH:SAL6903",TRUE,"ARLINGTON EAST","ARLINGTON EAST",78.5,"SALISBURY RD - 6903","_cte_lead"
"LS-002088","SOUTHBROOK DR","9586","SOUTH:SOU9586",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"SOUTHBROOK DR - 9586","_cte_lead"
"LS-001087","HILSDALE RD","8051","SOUTH:HIL8051",TRUE,"BUCKMAN","BUCKMAN",28.3,"HILSDALE RD - 8051","_cte_lead"
"LS-000372","BELFORT RD","3329","SOUTH:BEL3329",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"BELFORT RD - 3329","_cte_lead"
"LS-002075","SLEIMAN PKWY","4302","SOUTH:SLE4302",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"SLEIMAN PKWY - 4302","_cte_lead"
"LS-000696","DEER LAKE DR E","4831","SOUTH:DEE4831",TRUE,"ARLINGTON EAST","ARLINGTON EAST",78.5,"DEER LAKE DR E - 4831","_cte_lead"
"LS-001703","PERIMETER PARK BLVD","8784","SOUTH:PER8784",FALSE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"PERIMETER PARK BLVD - 8784","_cte_leadsp"
"LS-000710","DEERWOOD POINT PL","7709","SOUTH:DEE7709",TRUE,"ARLINGTON EAST","ARLINGTON EAST",19.6349540849362,"DEERWOOD POINT PL - 7709","_cte_lead"
"LS-001187","FIRST COAST TECH PKWY","5192","EAST:FIR5192",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"FIRST COAST TECH PKWY - 5192","_cte_lead"
"LS-002007","SAN PABLO RD S","4950","EAST:SAN4950",TRUE,"ARLINGTON EAST","ARLINGTON EAST",78.5,"SAN PABLO RD S - 4950","_cte_lead"
"LS-000349","BEAUCLERC RD","2860","SOUTH:BEA2860",FALSE,"MANDARIN","MANDARIN",19.6349540849362,"BEAUCLERC RD - 2860","_cte_leadsp"
"LS-002231","SUNBEAM RD","4083","SOUTH:SUN4083",TRUE,"MANDARIN","MANDARIN",50.3,"SUNBEAM RD - 4083","_cte_lead"
"LS-001957","SAN JOSE BLVD","10391","SOUTH:SAN10391",TRUE,"MANDARIN","MANDARIN",28.3,"SAN JOSE BLVD - 10391","_cte_lead"
"LS-001365","LOSCO RD","4440","SOUTH:LOS4440",TRUE,"MANDARIN","MANDARIN",28.3,"LOSCO RD - 4440","_cte_lead"
"LS-001105","HOOD RD","10142","SOUTH:HOO10142",FALSE,"MANDARIN","MANDARIN",28.3,"HOOD RD - 10142","_cte_leadsp"
"LS-001934","SABAL OAK LN","8245","SOUTH:SAB8245",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"SABAL OAK LN - 8245","_cte_lead"
"LS-001750","PHILLIPS INDUSTRIAL BLVD","6752","SOUTH:PHI6752",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"PHILLIPS INDUSTRIAL BLVD - 6752","_cte_lead"
"LS-000098","ALUMNI WAY","11220","SOUTH:ALU11220",FALSE,"ARLINGTON EAST","ARLINGTON EAST",113.1,"ALUMNI WAY - 11220","_cte_leadsp"
"LS-001160","JOHN PROM BLVD","2465","EAST:JOH2465",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"JOHN PROM BLVD - 2465","_cte_lead"
"LS-000753","DUNN AVE","3000","NORTH:DUN3000",FALSE,"CEDAR BAY","CEDAR BAY",78.5,"DUNN AVE - 3000","_cte_leadsp"
"LS-001026","HARTS RD","10991","NORTH:HAR10991",FALSE,"CEDAR BAY","CEDAR BAY",50.3,"HARTS RD - 10991","_cte_leadsp"
"LS-000485","BROWARD RD","1530","NORTH:BRO1530",TRUE,"CEDAR BAY","CEDAR BAY",19.6349540849362,"BROWARD RD - 1530","_cte_lead"
"LS-000226","BAISDEN RD","74","NORTH:BAI74",TRUE,"CEDAR BAY","CEDAR BAY",28.3,"BAISDEN RD - 74","_cte_lead"
"LS-001770","PINE MOSS RD","861","NORTH:PIN861",TRUE,"CEDAR BAY","CEDAR BAY",28.3,"PINE MOSS RD - 861","_cte_lead"
"LS-000634","CORPORATE SQUARE BLVD","1706","EAST:COR1706",FALSE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"CORPORATE SQUARE BLVD - 1706","_cte_leadsp"
"LS-000385","BIGGIN CHURCH RD W","3891","EAST:BIG3891",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"BIGGIN CHURCH RD W - 3891","_cte_lead"
"LS-000512","CANYON FALLS DR S","14051","EAST:CAN14051",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"CANYON FALLS DR S - 14051","_cte_lead"
"LS-002003","SAN PABLO RD S","2702","EAST:SAN2702",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"SAN PABLO RD S - 2702","_cte_lead"
"LS-000654","CRESTWICK DR E","13993","NORTH:CRE13993",TRUE,"CEDAR BAY","CEDAR BAY",50.3,"CRESTWICK DR E - 13993","_cte_lead"
"LS-002033","SEMINOLE AVE","1103","WEST:SEM1103",TRUE,"BUCKMAN","BUCKMAN",28.3,"SEMINOLE AVE - 1103","_cte_lead"
"LS-000476","BROADWAY AVE","6630","WEST:BRO6630",TRUE,"BUCKMAN","BUCKMAN",50.3,"BROADWAY AVE - 6630","_cte_lead"
"LS-002052","SHINDLER DR","5490","WEST:SHI5490",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"SHINDLER DR - 5490","_cte_lead"
"LS-000658","CRYSTAL SPRINGS RD","9598","WEST:CRY9598",FALSE,"SOUTHWEST","SOUTHWEST",50.3,"CRYSTAL SPRINGS RD - 9598","_cte_leadsp"
"LS-000992","GREENWOOD AVE","1990","WEST:GRE1990",TRUE,"BUCKMAN","BUCKMAN",50.3,"GREENWOOD AVE - 1990","_cte_lead"
"LS-001222","LAKE SHORE BLVD","1755","WEST:LAK1755",TRUE,"BUCKMAN","BUCKMAN",113.1,"LAKE SHORE BLVD - 1755","_cte_lead"
"LS-001492","MORET DR E","5631","WEST:MOR5631",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"MORET DR E - 5631","_cte_lead"
"LS-002054","SHINDLER DR","7520","WEST:SHI7520",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"SHINDLER DR - 7520","_cte_lead"
"LS-001136","INVERMERE BLVD","7702","WEST:INV7702",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"INVERMERE BLVD - 7702","_cte_lead"
"LS-000368","BEECHFERN LN E","8622","WEST:BEE8622",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"BEECHFERN LN E - 8622","_cte_lead"
"LS-000116","ARGYLE FOREST BLVD","6491","WEST:ARG6491",TRUE,"SOUTHWEST","SOUTHWEST",100,"ARGYLE FOREST BLVD - 6491","_cte_lead"
"LS-000570","CHESWICK OAK AVE","8550","WEST:CHE8550",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"CHESWICK OAK AVE - 8550","_cte_lead"
"LS-001390","MANDARIN RD","12931","SOUTH:MAN12931",TRUE,"MANDARIN","MANDARIN",28.3,"MANDARIN RD - 12931","_cte_lead"
"LS-001891","RIVERGATE TRL","1737","SOUTH:RIV1737",TRUE,"MANDARIN","MANDARIN",28.3,"RIVERGATE TRL - 1737","_cte_lead"
"LS-001965","SAN JOSE BLVD","12200","SOUTH:SAN12200",TRUE,"MANDARIN","MANDARIN",50.3,"SAN JOSE BLVD - 12200","_cte_lead"
"LS-001040","HEATHER GROVE LN","11745","SOUTH:HEA11745",TRUE,"MANDARIN","MANDARIN",28.3,"HEATHER GROVE LN - 11745","_cte_lead"
"LS-001646","OLDFIELD POINT DR","11969","SOUTH:OLD11969",TRUE,"MANDARIN","MANDARIN",50.3,"OLDFIELD POINT DR - 11969","_cte_lead"
"LS-000721","DEWBERRY DR","801","STJOHNS:DEW801",FALSE,"JCP","JCP",28.3,"DEWBERRY DR - 801","_cte_leadsp"
"LS-001396","MANEY DR","2235","SOUTH:MAN2235",TRUE,"BUCKMAN","BUCKMAN",58.5,"MANEY DR - 2235","_cte_lead"
"LS-000763","DUSKIN DR","901","EAST:DUS901",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"DUSKIN DR - 901","_cte_lead"
"LS-001267","LANSDOWNE DR","2421","EAST:LAN2421",TRUE,"ARLINGTON EAST","ARLINGTON EAST",19.6349540849362,"LANSDOWNE DR - 2421","_cte_lead"
"LS-000057","ABBEYFIELD LN","3215","EAST:ABB3215",TRUE,"ARLINGTON EAST","ARLINGTON EAST",70.9,"ABBEYFIELD LN - 3215","_cte_lead"
"LS-002010","SANDBURG RD","3446","EAST:SAN3446",TRUE,"ARLINGTON EAST","ARLINGTON EAST",19.6349540849362,"SANDBURG RD - 3446","_cte_lead"
"LS-001281","LEESBURG DR","3596","EAST:LEE3596",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"LEESBURG DR - 3596","_cte_lead"
"LS-000813","EDGEWOOD AVE W","904","NORTH:EDG904",FALSE,"BUCKMAN","BUCKMAN",28.3,"EDGEWOOD AVE W - 904","_cte_leadsp"
"LS-000891","FLORADALE DR S","2751","NORTH:FLO2751",TRUE,"BUCKMAN","BUCKMAN",19.6349540849362,"FLORADALE DR S - 2751","_cte_lead"
"LS-001357","LONGLEAF ST","5175","NORTH:LON5175",TRUE,"BUCKMAN","BUCKMAN",28.3,"LONGLEAF ST - 5175","_cte_lead"
"LS-000083","ALDEN RD","12106","EAST:ALD12106",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"ALDEN RD - 12106","_cte_lead"
"LS-000667","CURRITUCK DR N","13410","EAST:CUR13410",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"CURRITUCK DR N - 13410","_cte_lead"
"LS-001929","RUNNING RIVER RD","1350","EAST:RUN1350",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"RUNNING RIVER RD - 1350","_cte_lead"
"LS-002456","WINDY WILLOWS DR N","12665","EAST:WIN12665",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"WINDY WILLOWS DR N - 12665","_cte_lead"
"LS-000401","BLAGDON CT","460","EAST:BLA460",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"BLAGDON CT - 460","_cte_lead"
"LS-002391","WASHINGTON ST N","600","NORTH:WAS600",TRUE,"BUCKMAN","BUCKMAN",19.6349540849362,"WASHINGTON ST N - 600","_cte_lead"
"LS-002158","ST AUGUSTINE RD","5805","EAST:STA5805",FALSE,"BUCKMAN","BUCKMAN",28.3,"ST AUGUSTINE RD - 5805","_cte_leadsp"
"LS-000439","BOATWRIGHT WAY","3500","SOUTH:BOA3500",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"BOATWRIGHT WAY - 3500","_cte_lead"
"LS-000441","BONNEVAL RD","6961","SOUTH:BON6961",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"BONNEVAL RD - 6961","_cte_lead"
"LS-001518","NATIONS WAY","8205","SOUTH:NAT8205",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"NATIONS WAY - 8205","_cte_lead"
"LS-000371","BELFORT PKWY","7803","SOUTH:BEL7803",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"BELFORT PKWY - 7803","_cte_lead"
"LS-001099","HOLLYRIDGE RD","7871","SOUTH:HOL7871",TRUE,"ARLINGTON EAST","ARLINGTON EAST",38.5,"HOLLYRIDGE RD - 7871","_cte_lead"
"LS-000571","CHETS CREEK BLVD","13225","EAST:CHE13225",TRUE,"ARLINGTON EAST","ARLINGTON EAST",78.5,"CHETS CREEK BLVD - 13225","_cte_lead"
"LS-002436","W M DAVIS PKWY W","13812","EAST:WIL13812",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"W M DAVIS PKWY W - 13812","_cte_lead"
"LS-000147","ARUNDEL WAY","9099","SOUTH:ARU9099",TRUE,"MANDARIN","MANDARIN",50.3,"ARUNDEL WAY - 9099","_cte_lead"
"LS-002387","WALNUT BEND","4269","SOUTH:WAL4269",TRUE,"MANDARIN","MANDARIN",28.3,"WALNUT BEND - 4269","_cte_lead"
"LS-001388","MANDARIN RD","11741","SOUTH:MAN11741",TRUE,"MANDARIN","MANDARIN",28.3,"MANDARIN RD - 11741","_cte_lead"
"LS-001961","SAN JOSE BLVD","11247","SOUTH:SAN11247",TRUE,"MANDARIN","MANDARIN",50.3,"SAN JOSE BLVD - 11247","_cte_lead"
"LS-001368","LOSCO RD","5141","SOUTH:LOS5141",TRUE,"MANDARIN","MANDARIN",19.6349540849362,"LOSCO RD - 5141","_cte_lead"
"LS-000148","ASHFORD CROSSING DR","10031","SOUTH:ASH10031",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"ASHFORD CROSSING DR - 10031","_cte_lead"
"LS-000254","BAYMEADOWS RD","10702","SOUTH:BAY10702",TRUE,"ARLINGTON EAST","ARLINGTON EAST",144,"BAYMEADOWS RD - 10702","_cte_lead"
"LS-000374","BELLE RIVE BLVD","10222","SOUTH:BEL10222",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"BELLE RIVE BLVD - 10222","_cte_lead"
"LS-002275","TIMBERLIN LAKE RD","9025","SOUTH:TIM9025",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"TIMBERLIN LAKE RD - 9025","_cte_lead"
"LS-001363","LORETTO RD","4008","SOUTH:LOR4008",TRUE,"MANDARIN","MANDARIN",28.3,"LORETTO RD - 4008","_cte_lead"
"LS-002400","WEATHERWOOD ESTATES DR","4174","SOUTH:WEA4174",TRUE,"MANDARIN","MANDARIN",28.3,"WEATHERWOOD ESTATES DR - 4174","_cte_lead"
"LS-001805","PRAIRIE VIEW DR","12250","SOUTH:PRA12250",TRUE,"MANDARIN","MANDARIN",50.3,"PRAIRIE VIEW DR - 12250","_cte_lead"
"LS-001104","HOOD LANDING RD","12403","SOUTH:HOO12403",TRUE,"MANDARIN","MANDARIN",50.3,"HOOD LANDING RD - 12403","_cte_lead"
"LS-000399","BLACKBERRY LN","921","STJOHNS:BLA921",FALSE,"JCP","JCP",28.3,"BLACKBERRY LN - 921","_cte_leadsp"
"LS-002009","SANDALWOOD BLVD","1767","EAST:SAN1767",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"SANDALWOOD BLVD - 1767","_cte_lead"
"LS-001269","LANTANA LAKES DR E","2841","EAST:LAN2841",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"LANTANA LAKES DR E - 2841","_cte_lead"
"LS-000962","GOLDENROD CIR N","12005","EAST:GOL12005",TRUE,"ARLINGTON EAST","ARLINGTON EAST",19.6349540849362,"GOLDENROD CIR N - 12005","_cte_lead"
"LS-000384","BIGGIN CHURCH RD S","13215","EAST:BIG13215",TRUE,"ARLINGTON EAST","ARLINGTON EAST",78.5,"BIGGIN CHURCH RD S - 13215","_cte_lead"
"LS-001383","MAJESTIC OAKS DR","3482","EAST:MAJ3482",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"MAJESTIC OAKS DR - 3482","_cte_lead"
"LS-000529","CASTAWAY DR","2499","EAST:CAS2499",TRUE,"ARLINGTON EAST","ARLINGTON EAST",19.6349540849362,"CASTAWAY DR - 2499","_cte_lead"
"LS-000511","CANOPY OVERLOOK CT","13996","EAST:CAN13996",TRUE,"ARLINGTON EAST","ARLINGTON EAST",19.6349540849362,"CANOPY OVERLOOK CT - 13996","_cte_lead"
"LS-000489","BRYAN ST","250","NORTH:BRY250",TRUE,"BUCKMAN","BUCKMAN",113.1,"BRYAN ST - 250","_cte_lead"
"LS-002466","WOODLEY CREEK BLVD","10340","NORTH:WOO10340",TRUE,"CEDAR BAY","CEDAR BAY",50.3,"WOODLEY CREEK BLVD - 10340","_cte_lead"
"LS-001695","PECAN PARK RD","14201","NORTH:PEC14201",TRUE,"CEDAR BAY","CEDAR BAY",28.3,"PECAN PARK RD - 14201","_cte_lead"
"LS-001696","PECAN PARK RD","14300","NORTH:PEC14300",TRUE,"CEDAR BAY","CEDAR BAY",50.3,"PECAN PARK RD - 14300","_cte_lead"
"LS-001477","MONCRIEF RD W","5447","NORTH:MON5447",TRUE,"BUCKMAN","BUCKMAN",28.3,"MONCRIEF RD W - 5447","_cte_lead"
"LS-001471","MISSISSIPPI CT","4840","NORTH:MIS4840",TRUE,"BUCKMAN","BUCKMAN",19.6349540849362,"MISSISSIPPI CT - 4840","_cte_lead"
"LS-000580","CIVIC CLUB DR","7150","NORTH:CIV7150",TRUE,"CEDAR BAY","CEDAR BAY",28.3,"CIVIC CLUB DR - 7150","_cte_lead"
"LS-002402","WELLHOUSE DR","747","WEST:WEL747",TRUE,"BUCKMAN","BUCKMAN",28.3,"WELLHOUSE DR - 747","_cte_lead"
"LS-001123","IMESON RD","1492","WEST:IME1492",TRUE,"BUCKMAN","BUCKMAN",50.3,"IMESON RD - 1492","_cte_lead"
"LS-002044","SHELBY CREEK RD W","2410","WEST:SHE2410",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"SHELBY CREEK RD W - 2410","_cte_lead"
"LS-001435","MEADOW POINT DR","10342","WEST:MEA10342",TRUE,"SOUTHWEST","SOUTHWEST",50.3,"MEADOW POINT DR - 10342","_cte_lead"
"LS-002460","WINSTONIAN WAY ST","1089","WEST:WIN1089",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"WINSTONIAN WAY ST - 1089","_cte_lead"
"LS-002397","WATERSIDE DR","5214","WEST:WAT5214",TRUE,"BUCKMAN","BUCKMAN",19.6349540849362,"WATERSIDE DR - 5214","_cte_lead"
"LS-000019","101ST ST","5640","WEST:1015640",TRUE,"SOUTHWEST","SOUTHWEST",78.5,"101ST ST - 5640","_cte_lead"
"LS-001652","ORTEGA FARMS BLVD","5004","WEST:ORT5004",TRUE,"SOUTHWEST","SOUTHWEST",19.6349540849362,"ORTEGA FARMS BLVD - 5004","_cte_lead"
"LS-001226","LAMAR DR N","5391","WEST:LAM5391",TRUE,"SOUTHWEST","SOUTHWEST",80,"LAMAR DR N - 5391","_cte_lead"
"LS-001820","QUAIL COVE LN","7998","WEST:QUA7998",TRUE,"SOUTHWEST","SOUTHWEST",50.3,"QUAIL COVE LN - 7998","_cte_lead"
"LS-000662","CUMBERLAND GAP TRL","8007","WEST:CUM8007",TRUE,"SOUTHWEST","SOUTHWEST",28.3,"CUMBERLAND GAP TRL - 8007","_cte_lead"
"LS-000568","CHESWICK OAK AVE","336","WEST:CHE336",TRUE,"SOUTHWEST","SOUTHWEST",40.7,"CHESWICK OAK AVE - 336","_cte_lead"
"LS-000605","COLLINS RD","5620","WEST:COL5620",TRUE,"SOUTHWEST","SOUTHWEST",78.5,"COLLINS RD - 5620","_cte_lead"
"LS-000887","FLORA BRANCH BLVD","2301","STJOHNS:FLO2301",FALSE,"JCP","JCP",50.3,"FLORA BRANCH BLVD - 2301","_cte_leadsp"
"LS-000431","BLOUNT ISLAND BLVD","9233","NORTH:BLO9233",TRUE,"CEDAR BAY","CEDAR BAY",50.3,"BLOUNT ISLAND BLVD - 9233","_cte_lead"
"LS-001668","PADDLE BOAT LN","3161","SOUTH:PAD3161",TRUE,"MANDARIN","MANDARIN",50.3,"PADDLE BOAT LN - 3161","_cte_lead"
"LS-001092","HOGAN RD","7551","SOUTH:HOG7551",FALSE,"BUCKMAN","BUCKMAN",28.3,"HOGAN RD - 7551","_cte_leadsp"
"LS-002262","TERRY RD","6411","SOUTH:TER6411",TRUE,"BUCKMAN","BUCKMAN",55.2,"TERRY RD - 6411","_cte_lead"
"LS-000839","EMERALD ISLE CIR W","3454","SOUTH:EME3454",TRUE,"ARLINGTON EAST","ARLINGTON EAST",19.6349540849362,"EMERALD ISLE CIR W - 3454","_cte_lead"
"LS-001197","KINLOCK DR S","5730","NORTH:KIN5730",TRUE,"BUCKMAN","BUCKMAN",144,"KINLOCK DR S - 5730","_cte_lead"
"LS-000942","GATWICK CIR","8860","NORTH:GAT8860",TRUE,"BUCKMAN","BUCKMAN",28.3,"GATWICK CIR - 8860","_cte_lead"
"LS-002025","SCOTT WOODS DR W","8850","NORTH:SCO8850",TRUE,"BUCKMAN","BUCKMAN",28.3,"SCOTT WOODS DR W - 8850","_cte_lead"
"LS-001201","KNOLL DR W","1140","WEST:KNO1140",TRUE,"SOUTHWEST","SOUTHWEST",19.6349540849362,"KNOLL DR W - 1140","_cte_lead"
"LS-000033","103RD ST","7960","WEST:1037960",TRUE,"SOUTHWEST","SOUTHWEST",78.5,"103RD ST - 7960","_cte_lead"
"LS-002028","SEBA ST","1009","WEST:SEB1009",TRUE,"BUCKMAN","BUCKMAN",28.3,"SEBA ST - 1009","_cte_lead"
"LS-000214","ATLEE AVE","5791","WEST:ATL5791",TRUE,"BUCKMAN","BUCKMAN",78.5,"ATLEE AVE - 5791","_cte_lead"
"LS-001089","HODGES BLVD","1705","EAST:HOD1705",FALSE,"ARLINGTON EAST","ARLINGTON EAST",400,"HODGES BLVD - 1705","_cte_leadsp"
"LS-002001","SAN PABLO RD S","1700","EAST:SAN1700",TRUE,"ARLINGTON EAST","ARLINGTON EAST",78.5,"SAN PABLO RD S - 1700","_cte_lead"
"LS-001064","HICKORY CREEK BLVD","368","EAST:HIC368",FALSE,"ARLINGTON EAST","ARLINGTON EAST",78.5,"HICKORY CREEK BLVD - 368","_cte_leadsp"
"LS-001522","NESTING SWALLOW DR","981","EAST:NES981",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"NESTING SWALLOW DR - 981","_cte_lead"
"LS-000005","32ND ST E","94","NORTH:32N94",TRUE,"BUCKMAN","BUCKMAN",300,"32ND ST E - 94","_cte_lead"
"LS-002190","STANFORD RD","5621","EAST:STA5621",TRUE,"BUCKMAN","BUCKMAN",78.5,"STANFORD RD - 5621","_cte_lead"
"LS-001142","J RAY CIR S","5642","SOUTH:JRA5642",FALSE,"BUCKMAN","BUCKMAN",100,"J RAY CIR S - 5642","_cte_leadsp"
"LS-001938","SALISBURY RD","3650","SOUTH:SAL3650",TRUE,"BUCKMAN","BUCKMAN",19.6349540849362,"SALISBURY RD - 3650","_cte_lead"
