CMMS_ASSET_ID,PI_TAG,BASIN,AREA_FT2,STATION_NAME,TEMPLATE
LS-001818,WEST:PUR579,SOUTHWEST,50.3,PURCELL DR - 579,_cte_leadsp
LS-001065,WEST:HIC847,SOUTHWEST,120,HICKORY HILL DR - 847,_cte_lead
LS-002414,WEST:WES857,SOUTHWEST,19.63495408,WESTGATE DR - 857,_cte_lead
LS-000556,WEST:CHA1894,BUCKMAN,50.3,CHALLEN AVE - 1894,_cte_lead
LS-000836,WEST:ELL1401,BUCKMAN,28.3,ELLIS TRACE DR W - 1401,_cte_lead
LS-001403,WEST:MAR1573,BUCKMAN,28.3,MARDIS PL E - 1573,_cte_lead
LS-000869,WEST:FEN4451,SOUTHWEST,28.3,FENDER DR - 4451,_cte_lead
LS-001704,WEST:WES4815,SOUTHWEST,28.3,WESCONNETT BLVD - 4815,_cte_lead
LS-002015,WEST:SAN5060,SOUTHWEST,19.63495408,SANIBEL DR - 5060,_cte_lead
LS-001356,WEST:LON4797,SOUTHWEST,50.3,LONG BOW RD - 4797,_cte_lead
LS-001400,WEST:MAR5689,SOUTHWEST,50.3,MARATHON PKWY - 5689,_cte_lead
LS-001779,WEST:PLU6972,SOUTHWEST,113.1,PLUM LAKE DR E - 6972,_cte_lead
LS-002245,WEST:SWE7405,SOUTHWEST,28.3,SWEET ROSE LN - 7405,_cte_lead
LS-000779,WEST:EAG7159,SOUTHWEST,50.3,EAGLES PERCH DR - 7159,_cte_lead
LS-000702,WEST:DEE3231,SOUTHWEST,50.3,DEERFIELD POINT DR - 3231,_cte_lead
LS-000977,EAST:GRA3929,BUCKMAN,113.1,GRANT RD - 3929,_cte_lead
LS-002115,STJOHNS:SPA504,BLACKS FORD,50.3,SPARROW BRANCH CIR - 504,_cte_leadsp
LS-001776,SOUTH:PLA1826,MANDARIN,50.3,PLANTATION OAKS DR - 1826,_cte_lead
LS-001505,SOUTH:MOS11629,MANDARIN,28.3,MOSSY WAY - 11629,_cte_leadsp
LS-000720,STJOHNS:DEW702,JCP,28.3,DEWBERRY DR - 702,_cte_leadsp
LS-000723,SOUTH:DIC2843,BUCKMAN,19.63495408,DICKINSON RD - 2843,_cte_lead
LS-002254,NORTH:TAL2446,BUCKMAN,78.5,TALLEYRAND AVE - 2446,_cte_lead
LS-001055,EAST:HER3231,ARLINGTON EAST,19.63495408,HERMITAGE RD E - 3231,_cte_lead
LS-001361,NORTH:LOR7000,BUCKMAN,19.63495408,LORAIN ST - 7000,_cte_lead
LS-000017,NORTH:68T239,BUCKMAN,28.3,68TH ST W - 239,_cte_leadsp
LS-001626,NORTH:OLD6305,BUCKMAN,23.8,OLD KINGS RD - 6305,_cte_lead
LS-000593,NORTH:CLY4618,BUCKMAN,50.3,CLYDE DR - 4618,_cte_leadsp
LS-000365,WEST:BEA9801,BUCKMAN,78.5,BEAVER ST W - 9801,_cte_lead
LS-001116,WEST:HUG2601,SOUTHWEST,78.5,HUGH EDWARDS DR - 2601,_cte_lead
LS-000970,WEST:GRA8100,SOUTHWEST,50.3,GRAMPELL DR - 8100,_cte_lead
LS-001596,WEST:NOR8121,SOUTHWEST,28.3,NOROAD - 8121,_cte_lead
LS-001017,NORTH:HAR4100,BUCKMAN,28.3,HARBOR VIEW DR - 4100,_cte_lead
LS-001341,WEST:LEW2010,BUCKMAN,19.63495408,LEWIS INDUSTRIAL DR - 2010,_cte_lead
LS-000882,WEST:FIS10301,BUCKMAN,72.8,FISH RD - 10301,_cte_lead
LS-002403,WEST:WEL10452,SOUTHWEST,28.3,WELLINGTON SPRINGS WAY - 10452,_cte_lead
LS-002248,WEST:TAL1896,BUCKMAN,50.3,TALBOT AVE - 1896,_cte_lead
LS-000233,WEST:BAR6039,SOUTHWEST,28.3,BARTHOLF AVE - 6039,_cte_lead
LS-002018,WEST:SAV4335,SOUTHWEST,28.3,SAVANNAH AVE - 4335,_cte_lead
LS-002257,WEST:TAR5582,SOUTHWEST,28.3,TARA WOODS LN - 5582,_cte_lead
LS-000048,WEST:1188380,SOUTHWEST,28.3,118TH ST - 8380,_cte_lead
LS-002053,WEST:SHI6915,SOUTHWEST,28.3,SHINDLER DR - 6915,_cte_lead
LS-000063,WEST:ACA8752,SOUTHWEST,135,ACANTHUS DR - 8752,_cte_lead
LS-002476,WEST:YOU6397,SOUTHWEST,28.3,YOUNGERMAN CIR - 6397,_cte_lead
LS-002665,EAST:EME2325,BUCKMAN,19.63495408,EMERSON ST - 2325,_cte_lead
LS-000532,STJOHNS:CAT142,JCP,28.3,CATTAIL CIR - 142,_cte_leadsp
LS-000665,STJOHNS:CUN1238,JCP,28.3,CUNNINGHAM CREEK DR - 1238,_cte_leadsp
LS-001847,SOUTH:LON13399,MANDARIN,50.3,LONG CYPRESS TRL - 13399,_cte_lead
LS-000722,STJOHNS:DEW814,JCP,28.3,DEWBERRY DR - 814,_cte_leadsp
LS-000818,EAST:ELP1509,ARLINGTON EAST,50.3,EL PRADO RD - 1509,_cte_lead
LS-001030,SOUTH:HAR6462,ARLINGTON EAST,81.9,HARVIN RD - 6462,_cte_lead
LS-002347,EAST:UNI2800,ARLINGTON EAST,19.63495408,UNIVERSITY BLVD S - 2800,_cte_lead
LS-002287,EAST:TON6936,ARLINGTON EAST,28.3,TONGA DR - 6936,_cte_lead
LS-002302,EAST:TOW2456,ARLINGTON EAST,50.3,TOWNSQUARE DR - 2456,_cte_leadsp
LS-002012,EAST:SAN8808,ARLINGTON EAST,68,SANDUSKY AVE S - 8808,_cte_leadsp
LS-000396,NORTH:BIS5738,BUCKMAN,19.63495408,BISHOP HATCHER DR S - 5738,_cte_lead
LS-002380,NORTH:WAL5004,BUCKMAN,19.63495408,WALCOTT AVE - 5004,_cte_lead
LS-000980,WEST:GRA10712,BUCKMAN,28.3,GRAYSON CT - 10712,_cte_lead
LS-001800,WEST:POW1888,BUCKMAN,50.3,POWELL PL - 1888,_cte_lead
LS-001385,WEST:MAL1896,BUCKMAN,50.3,MALLORY ST - 1896,_cte_lead
LS-001063,EAST:HIC12620,ARLINGTON EAST,28.3,HICKORY CREEK BLVD - 12620,_cte_lead
LS-000885,EAST:FLI1661,ARLINGTON EAST,28.3,FLINTLOCK CT - 1661,_cte_lead
LS-001607,NORTH:NOR6947,BUCKMAN,109,NORWOOD AVE - 6947,_cte_lead
LS-001444,SOUTH:MER2200,BUCKMAN,110,MERCER CIR S - 2200,_cte_lead
LS-001165,SOUTH:JOS8241,ARLINGTON EAST,28.3,JOSE CIR W - 8241,_cte_leadsp
LS-000956,EAST:GLE12858,ARLINGTON EAST,113.1,GLEN KERNAN PKWY - 12858,_cte_lead
LS-000560,EAST:CHE4245,ARLINGTON EAST,28.3,CHELSEA HARBOR DR W - 4245,_cte_lead
LS-000542,SOUTH:CEN7621,ARLINGTON EAST,50.3,CENTURION PKWY - 7621,_cte_lead
LS-002291,SOUTH:TOU4740,ARLINGTON EAST,78.6,TOUCHTON RD E - 4740,_cte_lead
LS-001787,SOUTH:POI8032,ARLINGTON EAST,78.5,POINT MEADOWS DR - 8032,_cte_lead
LS-000258,SOUTH:BAY7823,ARLINGTON EAST,50.3,BAYMEADOWS RD E - 7823,_cte_lead
LS-000892,SOUTH:FLO9820,MANDARIN,28.3,FLORIDA MINING BLVD E - 9820,_cte_lead
LS-000703,SOUTH:DEE10353,MANDARIN,50.3,DEERFOOT LN N - 10353,_cte_lead
LS-001630,SOUTH:OLD8884,MANDARIN,36,OLD KINGS RD S - 8884,_cte_leadsp
LS-000086,SOUTH:ALE11551,MANDARIN,28.3,ALEXIS FOREST DR - 11551,_cte_leadsp
LS-000564,SOUTH:CHE8233,ARLINGTON EAST,28.3,CHESTER LAKE RD N - 8233,_cte_lead
LS-001012,SOUTH:HAM10526,ARLINGTON EAST,78.5,HAMPTON LANDING DR S - 10526,_cte_lead
LS-002258,SOUTH:TAY5006,MANDARIN,28.3,TAYLOR CREEK DR - 5006,_cte_lead
LS-000075,EAST:AGA10150,ARLINGTON EAST,187,AGAVE RD - 10150,_cte_lead
LS-000953,EAST:GLE2366,ARLINGTON EAST,19.63495408,GLEN GARDNER DR - 2366,_cte_lead
LS-002226,EAST:SUM2471,ARLINGTON EAST,28.3,SUMMER TREE RD E - 2471,_cte_lead
LS-001464,EAST:MIN11004,ARLINGTON EAST,144,MINDANAO DR S - 11004,_cte_leadsp
LS-001594,WEST:NOR9800,SOUTHWEST,28.3,NORMANDY BLVD - 9800,_cte_lead
LS-001593,WEST:NOR9330,SOUTHWEST,28.3,NORMANDY BLVD - 9330,_cte_lead
LS-000717,WEST:DER8998,SOUTHWEST,28.3,DERRICKSON DR - 8998,_cte_lead
LS-000857,WEST:FAL1531,SOUTHWEST,50.3,FALKLAND RD E - 1531,_cte_lead
LS-001004,WEST:HAM10374,SOUTHWEST,28.3,HAMLET GLEN DR - 10374,_cte_lead
LS-001454,WEST:MER4401,BUCKMAN,28.3,MERRIMAC AVE - 4401,_cte_lead
LS-002244,WEST:SWA5940,SOUTHWEST,80,SWAMP FOX RD - 5940,_cte_lead
LS-001655,WEST:ORT4659,SOUTHWEST,50.26548246,ORTEGA ISLAND DR - 4659,_cte_leadsp
LS-001145,WEST:JAM5001,SOUTHWEST,28.3,JAMMES RD - 5001,_cte_lead
LS-001503,WEST:MOR4990,SOUTHWEST,78.5,MORVEN RD - 4990,_cte_lead
LS-001778,WEST:PLU10613,SOUTHWEST,50.3,PLUM HOLLOW DR - 10613,_cte_leadsp
LS-000039,WEST:1039902,SOUTHWEST,78.5,103RD ST - 9902,_cte_leadsp
LS-000034,WEST:1039380,SOUTHWEST,28.3,103RD ST - 9380,_cte_lead
LS-000578,WEST:CIN7445,SOUTHWEST,28.3,CINNAMON LAKES DR - 7445,_cte_leadsp
LS-000629,WEST:COR8343,SOUTHWEST,50.3,CORALBERRY LN - 8343,_cte_lead
LS-000490,STJOHNS:BUC1140,JCP,50.3,BUCKBEAN BRANCH LN E - 1140,_cte_leadsp
LS-000761,STJOHNS:DUR500,JCP,50.3,DURBIN CREEK BLVD - 500,_cte_leadsp
