"Selected(x)","Parent","Name","ObjectType","Template","AttributeValue"
"x","WASTEWATER\EST FLOW\BLACKS FORD\OAK PARK DR - 34","CMMS Asset ID","Attribute","","LS-004339"
"x","WASTEWATER\EST FLOW\BLACKS FORD\OAK PARK DR - 34","PI Tag","Attribute","","STJOHNS:OAK34"
"x","WASTEWATER\EST FLOW\BLACKS FORD\OAK PARK DR - 34","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\BLACKS FORD\OAK PARK DR - 34","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\OAK PARK DR - 34","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","PINE CHASE WAY - 118","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\PINE CHASE WAY - 118","CMMS Asset ID","Attribute","","LS-004335"
"x","WASTEWATER\EST FLOW\BLACKS FORD\PINE CHASE WAY - 118","PI Tag","Attribute","","STJOHNS:PIN118"
"x","WASTEWATER\EST FLOW\BLACKS FORD\PINE CHASE WAY - 118","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BLACKS FORD\PINE CHASE WAY - 118","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\PINE CHASE WAY - 118","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\SOUTHWEST","ROBITZSCH LN - 5825","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\ROBITZSCH LN - 5825","CMMS Asset ID","Attribute","","LS-004338"
"x","WASTEWATER\EST FLOW\SOUTHWEST\ROBITZSCH LN - 5825","PI Tag","Attribute","","WEST:ROB5825"
"x","WASTEWATER\EST FLOW\SOUTHWEST\ROBITZSCH LN - 5825","Wetwell Area","Attribute","","78.54"
"x","WASTEWATER\EST FLOW\SOUTHWEST\ROBITZSCH LN - 5825","cte","Element","_cte_leadsp",""
