ENABLED,FAC_OWNER,FAC_STATE,PIPE_CLASS,PIPE_MATERIAL,PIPE_MATERIAL_ABV,LINING_MATERIAL,MEASURED_LENGTH,PLACED_BY,MODIFIED_BY,DATE_PLACED,DATE_MODIFIED,DATE_INSTALLED,DATE_BURSTED,DATE_LINED,DATA_SOURCE,SUBTYPE,DS_PIPE_INVERT_ELEVATION,US_PIPE_INVERT_ELEVATION,SLOPE,HYPERLINK_PRIMARY,DATE_CCTV,PACP_SCORE,DATE_CLEANED,CMMS_ASSET_ID,RELATED_PLANT,CAPITAL_PROJECT_NUMBER,REHAB_HYPERLINK,WBID_NUMBER,WBID_NAME,FACILITY_STATE_NOTES,HYPERLINK_SECONDARY,HYPERLINK_MAINTENANCE,CLEANING_METHOD,CCTV_HYPERLINK,FORCE_MAIN_RUN,FM_MANIFOLD_SYS,GLOBALID,MANUFACTURER,CALC_LENGTH,AVAIL_NUM,PIPE_SIZE,CF_AS_BUILT,CF_MATERIAL,CF_DATE_INSTALLED,CF_LINING_MATERIAL,CF_SIZE,CF_DS_ELEVATION,CF_SLOPE,CF_US_ELEVATION,LINING_MANUFACTURER,DS_GRADE_ELEVATION_INVERT,ORIENTATION,US_GRADE_ELEVATION_INVERT,EQUIPMENT_ID,EQUIPMENT_ID_DESCRIPTION,EQUIPMENT_CONTAINER,RECEIVING_STATION,UPSTREAM_MANHOLE,DOWNSTREAM_MANHOLE,GIS_OID,SHAPE_Length
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,95,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,18.9,18.45,0.47,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{3FC1D8D1-FA57-4183-8CA2-3B17C8E25DCF},National Pipe & Plastics/National PVC,94.45672623,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,25.53,UG,24.66,NA,NA,NA,NA,NA,NA,1686090,94.45672622662109
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,109,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,17.05,16.59,0.42,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{8C41BA64-8C6C-4847-B3A0-473135ECC8D3},National Pipe & Plastics/National PVC,108.86521454,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,25.53,UG,24.71,NA,NA,NA,NA,NA,NA,1686091,108.86521453751541
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,395,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,18.79,17.26,0.38,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{D67AE05D-AC79-4BC3-BE85-9E39A7CA27B4},National Pipe & Plastics/National PVC,387.93157789,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.71,UG,24.12,NA,NA,NA,NA,NA,NA,1686092,387.93157789230713
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,115,gamaaw,parsjn,2023-09-06T00:00:00Z,2024-02-08T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,20.23,19.69,0.47,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{91886A9A-DB46-40BC-9AAD-C4AED788D7A3},National Pipe & Plastics/National PVC,113.67607321,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.52,UG,25.19,NA,NA,NA,NA,NA,NA,1686093,113.67607321222157
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,114,gamaaw,parsjn,2023-09-06T00:00:00Z,2024-02-08T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,19.6,19.19,0.36,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{8B747DDC-CAEE-4587-95AF-A0FA1D35650F},National Pipe & Plastics/National PVC,113.17581754,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.93,UG,24.52,NA,NA,NA,NA,NA,NA,1686094,113.17581753970572
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,260,gamaaw,parsjn,2023-09-06T00:00:00Z,2024-02-08T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,19.11,18.13,0.37,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{6143CC82-8BA5-4C9E-A06B-2F72D375F07D},National Pipe & Plastics/National PVC,260.09492441,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.05,UG,24.93,NA,NA,NA,NA,NA,NA,1686095,260.0949244108481
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,213,gamaaw,parsjn,2023-09-06T00:00:00Z,2024-02-08T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,18.11,17.29,0.38,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{2FF82FD9-CBC6-4C5A-B3AF-B2BADC92BA62},National Pipe & Plastics/National PVC,212.57327122,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,25,UG,24.05,NA,NA,NA,NA,NA,NA,1686096,212.57327122328329
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,199,gamaaw,parsjn,2023-09-06T00:00:00Z,2024-02-08T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,17.17,16.47,0.35,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{FD05685F-5F27-4395-AC87-CB8136B85E45},National Pipe & Plastics/National PVC,200.1261641,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.68,UG,25,NA,NA,NA,NA,NA,NA,1686097,200.12616410353493
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,150,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,16.33,15.72,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{74229DFB-F2D8-4AF1-932B-3E70FF8F2F08},National Pipe & Plastics/National PVC,150.59013303,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,25,UG,24.68,NA,NA,NA,NA,NA,NA,1686098,150.59013303240533
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,174,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,15.54,14.89,0.37,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{5895BED1-AB4A-4D43-A74F-4A12E9B70EC8},National Pipe & Plastics/National PVC,174.64393207,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,25.42,UG,25,NA,NA,NA,NA,NA,NA,1686099,174.64393207297366
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,196,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,14.81,14.12,0.35,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{FEACA30D-575E-4662-8462-AB6A473D45E1},National Pipe & Plastics/National PVC,197.43082502,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.99,UG,25.42,NA,NA,NA,NA,NA,NA,1686100,197.43082501972512
