"CMMS_ASSET_ID","STREET_NAME","STREET_NUMBER","PI_TAG"
"LS-001435","MEADOW POINT DR","10342","WWL:WEST:MEA10342"
"LS-002460","WINSTONIAN WAY ST","1089","WWL:WEST:WIN1089"
"LS-002397","WATERSIDE DR","5214","WWL:WEST:WAT5214"
"LS-000019","101ST ST","5640","WWL:WEST:1015640"
"LS-001652","ORTEGA FARMS BLVD","5004","WWL:WEST:ORT5004"
"LS-001226","LAMAR DR N","5391","WWL:WEST:LAM5391"
"LS-000045","118TH ST","5104","WWL:WEST:1185104"
"LS-001820","QUAIL COVE LN","7998","WWL:WEST:QUA7998"
"LS-000924","FURY DR","8560","WWL:WEST:FUR8560"
"LS-000662","CUMBERLAND GAP TRL","8007","WWL:WEST:CUM8007"
"LS-000568","CHESWICK OAK AVE","336","WWL:WEST:CHE336"
"LS-000605","COLLINS RD","5620","WWL:WEST:COL5620"
"LS-000887","FLORA BRANCH BLVD","2301","WWL:STJOHNS:FLO2301"
"LS-000431","BLOUNT ISLAND BLVD","9233","WWL:NORTH:BLO9233"
"LS-001668","PADDLE BOAT LN","3161","WWL:SOUTH:PAD3161"
"LS-001092","HOGAN RD","7551","WWL:SOUTH:HOG7551"
"LS-002262","TERRY RD","6411","WWL:SOUTH:TER6411"
"LS-000839","EMERALD ISLE CIR W","3454","WWL:SOUTH:EME3454"
"LS-002252","TALLEYRAND AVE","1636","WWL:NORTH:TAL1636"
"LS-001197","KINLOCK DR S","5730","WWL:NORTH:KIN5730"
"LS-000942","GATWICK CIR","8860","WWL:NORTH:GAT8860"
"LS-002025","SCOTT WOODS DR W","8850","WWL:NORTH:SCO8850"
"LS-001201","KNOLL DR W","1140","WWL:WEST:KNO1140"
"LS-000033","103RD ST","7960","WWL:WEST:1037960"
"LS-002028","SEBA ST","1009","WWL:WEST:SEB1009"
"LS-000214","ATLEE AVE","5791","WWL:WEST:ATL5791"
"LS-001089","HODGES BLVD","1705","WWL:EAST:HOD1705"
"LS-002001","SAN PABLO RD S","1700","WWL:EAST:SAN1700"
"LS-001064","HICKORY CREEK BLVD","368","WWL:EAST:HIC368"
"LS-001522","NESTING SWALLOW DR","981","WWL:EAST:NES981"
"LS-000005","32ND ST E","94","WWL:NORTH:32N94"
"LS-002190","STANFORD RD","5621","WWL:EAST:STA5621"
"LS-001142","J RAY CIR S","5642","WWL:SOUTH:JRA5642"
"LS-001938","SALISBURY RD","3650","WWL:SOUTH:SAL3650"
"LS-000465","BRIERWOOD RD","8460","WWL:SOUTH:BRI8460"
"LS-000707","DEERWOOD PARK BLVD","10440","WWL:SOUTH:DEE10440"
"LS-000495","BURNT MILL RD","10828","WWL:SOUTH:BUR10828"
"LS-000931","GATE PKWY N","9731","WWL:SOUTH:GAT9731"
"LS-000645","CRAVEN RD W","4425","WWL:SOUTH:CRA4425"
"LS-000348","BEAUCLERC OAKS DR","9456","WWL:SOUTH:BEA9456"
"LS-001644","OLD SUNBEAM RD","3902","WWL:SOUTH:OLD3902"
"LS-001986","SAN JOSE BLVD","9614","WWL:SOUTH:SAN9614"
"LS-002470","WRIGHTSON DR","2658","WWL:SOUTH:WRI2658"
"LS-001272","LAS VEGAS RD","3640","WWL:SOUTH:LAS3640"
"LS-002153","ST AUGUSTINE RD","10680","WWL:SOUTH:STA10680"
"LS-001959","SAN JOSE BLVD","10859","WWL:SOUTH:SAN10859"
"LS-001401","MARBLE EGRET DR","10366","WWL:SOUTH:MAR10366"
"LS-000893","FLORIDA MINING BLVD S","5521","WWL:SOUTH:FLO5521"
"LS-002112","SOUTHSIDE BLVD","9041","WWL:SOUTH:SOU9041"
"LS-000985","GREENLAND RD","4788","WWL:SOUTH:GRE4788"
"LS-002471","YALDING DR","11644","WWL:SOUTH:YAL11644"
"LS-001204","KUSAIE DR","2044","WWL:EAST:KUS2044"
"LS-001374","LUANA DR E","2323","WWL:EAST:LUA2323"
"LS-002386","WALLE DR","11955","WWL:EAST:WAL11955"
"LS-002016","SANS PAREIL ST","2987","WWL:EAST:SAN2987"
"LS-000515","CAPPER RD","3327","WWL:NORTH:CAP3327"
"LS-001028","HARTS RD","12266","WWL:NORTH:HAR12266"
"LS-000082","ALDEN RD","11823","WWL:EAST:ALD11823"
"LS-000946","GENERAL DOOLITTLE DR","234","WWL:EAST:GEN234"
"LS-000997","GROVE PARK BLVD","487","WWL:EAST:GRO487"
"LS-002307","TRESCA RD","420","WWL:EAST:TRE420"
"LS-000300","SUNI PINES BLVD","2801","WWL:EAST:SUN2801"
"LS-001122","IBIS POINT BLVD","13961","WWL:EAST:IBI13961"
"LS-000445","BOULEVARD CENTER DR","4133","WWL:EAST:BOU4133"
"LS-000591","CLINTON AVE","4425","WWL:EAST:CLI4425"
"LS-001417","MARTIN LUTHER KING DR","5936","WWL:NORTH:MAR5936"
"LS-001870","RICHARDSON RD","7443","WWL:NORTH:RIC7443"
"LS-001861","RHODE ISLAND DR E","7221","WWL:NORTH:RHO7221"
"LS-001005","HAMMOND BLVD","1520","WWL:WEST:HAM1520"
"LS-000069","ADDOR LN","505","WWL:WEST:ADD505"
"LS-001430","MCGIRTS BLVD","4170","WWL:WEST:MCG4170"
"LS-001224","LAKESIDE DR","4294","WWL:WEST:LAK4294"
"LS-001821","QUAN DR","5148","WWL:WEST:QUA5148"
"LS-000248","BAYCREST RD","5239","WWL:WEST:BAY5239"
"LS-001146","JAMMES RD","5541","WWL:WEST:JAM5541"
"LS-002281","TIMUQUANA RD","5565","WWL:WEST:TIM5565"
"LS-001205","LA MOYA AVE","5549","WWL:WEST:LAM5549"
"LS-002260","TENNYSON DR","6084","WWL:WEST:TEN6084"
"LS-001927","ROYAL FERN LN S","2269","WWL:SOUTH:ROY2269"
"LS-001963","SAN JOSE BLVD","11700","WWL:SOUTH:SAN11700"
"LS-000456","BRADY PLACE BLVD S","12714","WWL:SOUTH:BRA12714"
"LS-001455","MESA VERDE TRL","12237","WWL:SOUTH:MES12237"
"LS-001450","MERGANSER WAY","11815","WWL:SOUTH:MER11815"
"LS-001933","RYAR RD","1531","WWL:EAST:RYA1531"
"LS-000459","BREST RD","2391","WWL:SOUTH:BRE2391"
"LS-000423","BLARNEY STONE CT","8621","WWL:SOUTH:BLA8621"
"LS-001093","HOLIDAY RD S","7834","WWL:EAST:HOL7834"
"LS-001496","MORRISON ST","4516","WWL:NORTH:MOR4516"
"LS-002478","ZOO RD","8602","WWL:NORTH:ZOO8602"
"LS-001706","PETTIFORD DR E","6295","WWL:NORTH:PET6295"
"LS-000884","FLICKER AVE","5926","WWL:NORTH:FLI5926"
"LS-000561","CHERBOURG AVE N","6705","WWL:WEST:CHE6705"
"LS-001019","HARLOW BLVD","6640","WWL:WEST:HAR6640"
"LS-001574","NORMANDY BLVD","5121","WWL:WEST:NOR5121"
"LS-001520","NELSON ST","1082","WWL:WEST:NEL1082"
"LS-001428","MCCOYS CREEK BLVD","2251","WWL:NORTH:MCC2251"
"LS-002394","WATER ST","604","WWL:NORTH:WAT604"
"LS-000939","GATELY RD S","12409","WWL:EAST:GAT12409"
"LS-002089","SOUTHBROOK DR","9601","WWL:SOUTH:SOU9601"
"LS-001508","MOUNTAIN BROOK LN E","4513","WWL:EAST:MOU4513"
"LS-002290","TOUCHTON RD","9803","WWL:SOUTH:TOU9803"
"LS-001764","PICKWICK DR","9456","WWL:SOUTH:PIC9456"
"LS-002024","SCOTT MILL RD","9967","WWL:SOUTH:SCO9967"
"LS-001023","HARTLEY RD","3200","WWL:SOUTH:HAR3200"
"LS-001000","HALCYON LN","2975","WWL:SOUTH:HAL2975"
"LS-001022","HARTLEY RD","3010","WWL:SOUTH:HAR3010"
"LS-001364","LOSCO JUNCTION DR","11065","WWL:SOUTH:LOS11065"
