Join_Count,TARGET_FID,ANCILLARYR,ENABLED,FAC_OWNER,FAC_STATE,PLACED_BY,MODIFIED_B,DATE_PLACE,DATE_MODIF,GPS_X_COOR,GPS_Y_COOR,SYMBOL_ROT,DATA_SOURC,SUBTYPE,S_COMMON_N,MAINT_DIST,STREET_NAM,STREET_NUM,STATION_SY,PUMPSTATIO,HYPERLINK,GPS_LATITU,GPS_LONGIT,RECEIVING_,CMMS_ASSET,RFID_BARCO,PI_TAG,GENERATOR,DIESEL_PUM,GLOBALID,VALID_STRE,GIS_STREET,WETWELL_TO,WETWELL_IN,WETWELL_BT,BASIN_LOWP,CF_WETWELL,CF_WETWE_1,CF_WETWE_2,AVAIL_NUM,DATE_INSTA,MODEL_NODE,EQUIPMENT_,PARENT_EQU,GIS_OID,METER_NUMB,WATERTRACE,NAME,OWNER,TR_PLANT,STATUS,TYPE,GLOBALID_1,PLANTASSET,SHAPE_Leng,SHAPE_Area
1,3738,0,1,JEA,INS,dennsg,picktn,6/1/2015,8/6/2025,0.00000000000,0.00000000000,79.03023096000,63630-69,1,twenty mile village,D8,LONE EAGLE WAY,211,LON-211,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\63000_63999\63630-69.pdf521716.543,,,WW-012,LS-004026,,WWL:STJOHNS:LON211,,,{EFE363A5-7E49-4073-BB5C-6D405447D7DE},77652,211 LONE EAGLE WAY,27.40000000000,0.00000000000,0.00000000000,,,,,,4/2/2015,,,,190551,20336826,6815744,Twin Creeks,JEA,Blacks Ford/Greenland,Current,Public,{B8326A02-0BB4-4444-B564-56FE69C84FB3},WW-012,187944.39206400000,728874149.77300000000
1,3740,0,1,JEA,INS,chanp,picktn,6/10/2015,8/6/2025,0.00000000000,0.00000000000,328.80392799000,63677,1,,D8,SENEGAL DR,53,SEN-53,1,,,,WW-012,LS-004021,,WWL:STJOHNS:SEN53,,,{5678598E-D5CC-483C-A3FD-3F3C2490F106},77405,53 SENEGAL DR,30.60000000000,0.00000000000,0.00000000000,,,,,,3/11/2015,,,,191189,20337249,6815744,Twin Creeks,JEA,Blacks Ford/Greenland,Current,Public,{B8326A02-0BB4-4444-B564-56FE69C84FB3},WW-012,187944.39206400000,728874149.77300000000
1,3745,0,1,JEA,INS,dennsg,picktn,7/7/2015,8/6/2025,0.00000000000,0.00000000000,6.42996994000,63774-83,1,palms#2,D8,COCONUT PALM PKWY,585,COC-585,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\63000_63999\63774-83.pdf,,,WW-012,LS-004030,,WWL:STJOHNS:COC585,,,{597E55A4-3597-4C9C-BF60-E59A4880A32D},0,585 COCONUT PALM PKWY,28.80000000000,0.00000000000,0.00000000000,,,,,,4/15/2015,,,,191844,0,6815744,Twin Creeks,JEA,Blacks Ford/Greenland,Current,Public,{B8326A02-0BB4-4444-B564-56FE69C84FB3},WW-012,187944.39206400000,728874149.77300000000
1,3746,0,1,JEA,INS,chanp,gamaaw,7/7/2015,7/31/2024,0.00000000000,0.00000000000,317.90344442000,63796,1,PAT-2079,D3,PATRIOT RIDGE RD,2079,PAT-2079,1,,,,WW-001,LS-004034,,WWL:WEST:PAT2079,,,{6815D968-6C06-4BF4-8086-B7EED7B2A33D},77604,2079 PATRIOT RIDGE RD,69.40000000000,0.00000000000,0.00000000000,,,,,,5/15/2015,,,,191845,20336648,6815744,Southwest,JEA,Southwest,Current,Public,{C7EB7602-3830-4D27-A453-EC68BD0BC8BD},WW-001,474969.72034900000,3253317762.96000000000
1,3747,0,1,JEA,INS,parsjn,picktn,7/9/2015,8/6/2025,0.00000000000,0.00000000000,294.94388654000,63788-91,1,UNKNOWN,D2,ROUEN COVE DR,12276,ROU-12276,1,G:Services\Shared\STANDARD\WaterSewer\AsBuilts\63000_63999\63788-91.pdf,,,WW-004,LS-004032,,WWL:NORTH:ROU12276,,,{72379FE8-AE70-4658-BC58-A51F833C0214},77689,12276 ROUEN COVE DR,14.70000000000,0.00000000000,0.00000000000,,,,,,6/9/2015,,,,191860,20336830,6815744,Cedar Bay,JEA,Cedar Bay,Current,Public,{2DD1F637-F20F-4C59-945E-1310649D3CDB},WW-004,448561.19175800000,3529987502.24000000000
1,3748,0,1,JEA,INS,parsjn,picktn,7/10/2015,8/6/2025,0.00000000000,0.00000000000,0.00000000000,63800-02,1,BAL-4970,D5,BALLASTONE DR,4970,BAL-4970,1,G:Services\Shared\STANDARD\WaterSewer\AsBuilts\63000_63999\63800-02.pdf,,,WW-009,LS-004031,,WWL:SOUTH:BAL4970,,,{7207D3AA-2681-4552-B025-9C1A86F0213C},77528,4970 BALLASTONE DR,25.08000000000,0.00000000000,0.00000000000,Yes,,,,,6/11/2015,,,,191861,20337051,6815744,Mandarin,JEA,Mandarin,Current,Public,{D49650D9-162A-4A1D-AF56-5C474F754DB2},WW-009,197039.71922400000,1141949592.83000000000
1,3751,0,1,JEA,INS,dennsg,picktn,7/23/2015,8/6/2025,-999.00000000000,-999.00000000000,353.03333214000,63836-73,1,CELESTINA,D8,SOLIS AVE,57,SOL-57,2,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\63000_63999\63836-73.pdf,-999,-999,WW-012,LS-004027,,WWL:STJOHNS:SOL57,Yes,No,{4950388D-1514-43A0-82F8-99E9117E46AE},77629,57 SOLIS AVE,16.50000000000,-999.00000000000,-3.35000000000,Yes,As Built,Not Provided,As Built,2014-0062,4/20/2015,,,,192148,20337191,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3752,0,1,JEA,INS,dennsg,picktn,7/23/2015,8/6/2025,0.00000000000,0.00000000000,0.00000000000,63836-73,1,CELESTINA,D8,ANILA ST,23,ANI-23,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\63000_63999\63836-73.pdf,,,WW-012,LS-004033,,WWL:STJOHNS:ANI23,,,{933B11DF-6EBD-459D-AB23-1624534F693D},77627,23 ANILA ST,20.44000000000,0.00000000000,0.00000000000,,,,,,4/20/2015,,,,192149,20336819,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3753,0,1,JEA,INS,parsjn,picktn,7/30/2015,8/6/2025,0.00000000000,0.00000000000,0.00000000000,REDLINE MOODAH 7/29/15,1,UNKNOWN,D4,YORK ST,2301,YOR-2301,1,,,,BUCKMAN,LS-004038,,WWL:EAST:YOR2301,,,{B382CF39-C236-401A-8EA1-03BDD2BB56A8},73738,2301 YORK ST,25.00000000000,0.00000000000,0.00000000000,,,,,,4/7/2015,,,,192150,20337040,6815744,Buckman,JEA,Buckman,Current,Public,{BEF8178E-64FA-4A72-88AA-753A41F25537},BUCKMAN,575195.36979500000,3421527662.90000000000
1,3756,0,1,JEA,INS,chanp,gamaaw,8/11/2015,7/31/2024,0.00000000000,0.00000000000,109.52221742000,63919,1,,D8,RUSSELL BRIDGE DR,14749,RUS-14749,1,,,,WW-012,LS-004036,,WWL:STJOHNS:RUS14749,,,{31D37045-A90D-4BFD-82A1-D5501141EBC4},77599,14749 RUSSELL BRIDGE DR,14.11000000000,0.00000000000,0.00000000000,,,,,,6/8/2015,,,,192157,20336861,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3768,0,1,JEA,INS,dennsg,picktn,11/4/2015,5/12/2025,0.00000000000,0.00000000000,26.55310785000,64132-45,1,UNKNOWN,D8,BLUEWATER DR,2037,BLU-2037,2,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64132-45.pdf,,,WW-012,LS-004055,,WWL:STJOHNS:BLU2037,,,{9B34C74E-3B7A-4D31-9AAA-BF3743E7290F},76435,2037 BLUEWATER DR,32.74000000000,0.00000000000,0.00000000000,,,,,,9/3/2015,,,,194710,10125753,6815744,Twin Creeks,JEA,Blacks Ford/Greenland,Current,Public,{B8326A02-0BB4-4444-B564-56FE69C84FB3},WW-012,187944.39206400000,728874149.77300000000
1,3774,0,1,JEA,INS,dennsg,richp,12/9/2015,6/23/2025,0.00000000000,0.00000000000,44.25466139000,64175-211,1,CELESTRA PS3,D8,TIERRA COVE,38,TIE-38,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64175-211.pdf,,,WW-012,LS-004042,,WWL:STJOHNS:TIE38,,,{4C246280-6830-4238-9AAE-2A5BB2530F16},0,38 TIERRA COVE,12.39000000000,0.00000000000,0.00000000000,,,,,,10/7/2015,,,,195988,0,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3775,0,1,JEA,INS,dennsg,gamaaw,12/9/2015,7/31/2024,0.00000000000,0.00000000000,29.93163016000,64175-211,1,CELESTRA PS4,D8,AMALURRA TRL,221,AMA-221,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64175-211.pdf,,,WW-012,LS-004037,,WWL:STJOHNS:AMA221,,,{A9986AC5-2F53-44AC-8B95-EB0650CF9123},77628,221 AMALURRA TRL,15.69000000000,0.00000000000,0.00000000000,,,,,,10/7/2015,,,,195991,20336817,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3777,0,1,JEA,INS,dennsg,picktn,12/16/2015,8/6/2025,0.00000000000,0.00000000000,89.76327815000,64214-16,1,AVENUES WALK MASTER,D5,AVENUES WALK BLVD,10910,AVE-10910,2,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64214-16.pdf,,,WW-011,LS-004039,,WWL:SOUTH:AVE10910,Yes,No,{F6DC0B56-F958-4828-9030-AD82C0ECE01F},76840,10910 AVENUES WALK BLVD,20.15000000000,0.00000000000,0.00000000000,,,,,,2/5/2009,,,,195994,20337793,6815744,Arlington East,JEA,Arlington East,Current,Public,{8B362B47-EDD2-41B7-A477-63B1D518C858},WW-011,553008.37528600000,3077603226.93000000000
1,3778,0,1,JEA,INS,dennsg,picktn,12/17/2015,8/6/2025,0.00000000000,0.00000000000,17.77356595000,64409-423,1,RIVERWOOD-2-E,D8,CASPIA LN,473,CAS-473,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64409-23.pdf,,,WW-012,LS-004048,,WWL:STJOHNS:CAS473,No,Unknown,{2CCF5AFB-79E8-40D0-8E9F-658B2D512A7D},77454,473 CASPIA LN,17.21000000000,0.00000000000,0.36000000000,Yes,As Built,,As Built,2014-0982,11/19/2015,,,,195995,99921722,6815744,Twin Creeks,JEA,Blacks Ford/Greenland,Current,Public,{B8326A02-0BB4-4444-B564-56FE69C84FB3},WW-012,187944.39206400000,728874149.77300000000
1,3779,0,1,JEA,INS,parsjn,picktn,12/22/2015,5/12/2025,0.00000000000,0.00000000000,331.83678678000,64242-70,1,UNKNOWN,D8,STONE RIDGE DR,550,STO-550,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64242-70.pdf,,,WW-012,LS-004051,,WWL:STJOHNS:STO550,,,{A23C18F2-9F72-4798-831F-C7ABE2778CE9},77712,550 STONE RIDGE DR,21.25000000000,0.00000000000,0.00000000000,,,,,,1/7/2016,,,,195996,20336583,6815744,Twin Creeks,JEA,Blacks Ford/Greenland,Current,Public,{B8326A02-0BB4-4444-B564-56FE69C84FB3},WW-012,187944.39206400000,728874149.77300000000
1,3780,0,1,JEA,INS,dennsg,picktn,12/28/2015,8/6/2025,0.00000000000,0.00000000000,327.31418620000,64363-71,1,artisan lakes,D8,STONE MASON DR,296,STO-296,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64363-71.pdf,,,WW-012,LS-004041,,WWL:STJOHNS:STO296,,,{F45ADA6F-8DD8-4EB0-9BFE-479C540E7D1F},0,296 STONE MASON DR,27.50000000000,0.00000000000,0.00000000000,,,,,,12/7/2015,,,,196308,0,6815744,Twin Creeks,JEA,Blacks Ford/Greenland,Current,Public,{B8326A02-0BB4-4444-B564-56FE69C84FB3},WW-012,187944.39206400000,728874149.77300000000
1,3781,0,1,JEA,INS,dennsg,picktn,1/5/2016,8/6/2025,0.00000000000,0.00000000000,0.00000000000,64297-305,1,,D3,STEVENTON WAY,7257,STE-7257,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64297-305.pdf,,,WW-001,LS-004044,,WWL:WEST:STE7257,,,{1D957A4C-4DF2-4191-9C95-430D0D10480C},0,7257 STEVENTON WAY,23.00000000000,0.00000000000,0.00000000000,,,,,,10/30/2015,,,,196309,0,6815744,Southwest,JEA,Southwest,Current,Public,{C7EB7602-3830-4D27-A453-EC68BD0BC8BD},WW-001,474969.72034900000,3253317762.96000000000
1,3787,0,1,JEA,INS,parsjn,richp,1/19/2016,6/23/2025,0.00000000000,0.00000000000,0.00000000000,63899-904,1,UNKNOWN,D5,RIVER STORY DR,14278,RIV-14278,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\63000_63999\63899-904.pdf,,,WW-009,LS-004035,,WWL:SOUTH:RIV14278,,,{EACEC506-ED0E-465A-94A7-47823196F1D0},77687,14278 RIVER STORY DR,7.60000000000,0.00000000000,0.00000000000,,,,,,6/25/2015,,,,196660,20337286,6815744,Mandarin,JEA,Mandarin,Current,Public,{D49650D9-162A-4A1D-AF56-5C474F754DB2},WW-009,197039.71922400000,1141949592.83000000000
1,3791,0,1,JEA,INS,dennsg,picktn,2/1/2016,8/6/2025,-999.00000000000,-999.00000000000,326.10082052000,64457-80,1,SHEARWATER #1,D8,SHEARWATER PKWY,635,SHE-635,3,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\Plant_Index\PS File\SHE-635_Shearwater Py.pdf,-999,-999,WW-012,LS-004046,,WWL:STJOHNS:SHE635,Yes,No,{C1A5FD3A-7076-42D4-9995-7C6B4BA89CE8},77743,635 SHEARWATER PKWY,29.50000000000,-999.00000000000,2.85000000000,Yes,As Built,Not Provided,As Built,2014-0918,12/8/2015,,,,196964,78990932,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3792,0,1,JEA,INS,dennsg,dasiak,2/1/2016,7/1/2025,0.00000000000,0.00000000000,325.35103846000,64457-80,1,shearwatwer#3,D8,SHEARWATER PKWY,873,SHE-873,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64457-80.pdf,,,WW-012,LS-004047,,WWL:STJOHNS:SHE873,,,{E09CBD26-A104-4E4D-AE4E-D1D136B8D0AC},77743,873 SHEARWATER PKWY,20.00000000000,0.00000000000,0.00000000000,Yes,,,,,12/8/2015,,,,196967,78990922,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3793,0,1,JEA,INS,chanp,picktn,2/3/2016,8/6/2025,0.00000000000,0.00000000000,273.47439722000,64588,1,,D2,LIBERTY ST N,825,LIB-825,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64580-600.pdf,,,BUCKMAN,LS-004040,,WWL:NORTH:LIB825,,,{42728E1F-4B56-4695-AACF-AFB15D435846},66984,825 LIBERTY ST N,7.86000000000,0.00000000000,0.00000000000,,,,,,10/27/2014,,,,196968,22424832,6815744,Buckman,JEA,Buckman,Current,Public,{BEF8178E-64FA-4A72-88AA-753A41F25537},BUCKMAN,575195.36979500000,3421527662.90000000000
1,3795,0,1,JEA,INS,davijg,picktn,2/23/2016,8/6/2025,0.00000000000,0.00000000000,273.05471585000,092117: R Lehman old LS demo'd.  New LS,1,NIB-2078,D3,NIBLICK DR,2078,NIB-2078,1,,,,WW-001,LS-001565,,WWL:WEST:NIB2078,,,{8F833BAA-FF7E-47CE-9F08-2EF26A23AD2D},68564,2078 NIBLICK DR,10.00000000000,0.00000000000,0.00000000000,,,,,,3/1/2014,,,,197908,20336794,6815744,Southwest,JEA,Southwest,Current,Public,{C7EB7602-3830-4D27-A453-EC68BD0BC8BD},WW-001,474969.72034900000,3253317762.96000000000
1,3796,0,1,JEA,INS,dennsg,richp,3/11/2016,6/23/2025,0.00000000000,0.00000000000,0.00000000000,64658-71,1,STONE CREEK,D8,STONE CREEK LN,159,STO-159,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64658-71.pdf,,,WW-012,LS-004052,,WWL:STJOHNS:STO159,,,{B9AF1D15-A44C-4431-BA2D-4815CA7FB057},0,159 STONE CREEK LN,30.00000000000,0.00000000000,0.00000000000,,,,,,2/8/2016,,,,198230,0,6815744,Blacks Ford,JEA,Blacks Ford,Current,Public,{6AFAC4ED-8CCA-4F50-AFB9-CA07CD8847EE},WW-012,238028.24687800000,1625256760.79000000000
1,3797,0,1,JEA,INS,dennsg,picktn,3/15/2016,8/6/2025,0.00000000000,0.00000000000,357.82045867000,64424-28,1,BLUFFS @PLUMMERS COVE,D5,CHAPMAN OAKS DR,2749,CHA-2749,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64424-28.pdf,,,WW-009,LS-004045,,WWL:SOUTH:CHA2749,Yes,No,{F17B19A1-B28E-46AB-9108-C266C6E2CC1B},0,2749 CHAPMAN OAKS DR,20.00000000000,0.00000000000,0.00000000000,Yes,,,,,11/24/2015,,,,198548,0,6815744,Mandarin,JEA,Mandarin,Current,Public,{D49650D9-162A-4A1D-AF56-5C474F754DB2},WW-009,197039.71922400000,1141949592.83000000000
1,3798,0,1,JEA,INS,parsjn,picktn,3/15/2016,8/6/2025,0.00000000000,0.00000000000,0.00000000000,64707-14,1,SHA-12490,D5,SHADY BRIDGE TRL,12490,SHA-12490,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64707-14.pdf,,,WW-009,LS-004050,,WWL:SOUTH:SHA12490,,,{C8F1798E-358F-44AC-BF7D-1AF7320E762D},77683,12490 SHADY BRIDGE TRL,30.41000000000,0.00000000000,0.00000000000,Yes,,,,,2/3/2016,,,,198564,23717004,6815744,Mandarin,JEA,Mandarin,Current,Public,{D49650D9-162A-4A1D-AF56-5C474F754DB2},WW-009,197039.71922400000,1141949592.83000000000
1,3799,0,1,JEA,INS,parsjn,picktn,3/25/2016,8/6/2025,-999.00000000000,-999.00000000000,0.00000000000,64732-39,1,ARI-12021,D5,ARIANA ELYSE DR,12021,ARI-12021,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64732-39.PDF,-999,-999,WW-009,LS-004049,,WWL:SOUTH:ARI12021,,,{FEE625EE-32F0-48CE-A1CF-308BB0A0DFA8},77681,12021 ARIANA ELYSE DR,29.24000000000,0.00000000000,0.00000000000,Yes,,,,,2/3/2016,,,,198868,10125745,6815744,Mandarin,JEA,Mandarin,Current,Public,{D49650D9-162A-4A1D-AF56-5C474F754DB2},WW-009,197039.71922400000,1141949592.83000000000
1,3803,0,1,JEA,INS,parsjn,picktn,4/14/2016,8/6/2025,-999.00000000000,-999.00000000000,0.00000000000,64763-68,1,BLA-85990,D7,BLACK TERN DR,85990,BLA-85990,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\64000_64999\64763-68.pdf,-999,-999,WW-005,LS-004061,,WWL:NASSAU:BLA85990,Yes,No,{4B6B1682-0B4E-4535-BF2C-33AA9C4D76B9},77834,85990 BLACK TERN DR,12.50000000000,0.00000000000,0.00000000000,,,,,,2/10/2016,,,,199508,76549985,6815744,Nassau,JEA,Nassau,Current,Public,{D3388B1C-F97C-42C2-A000-5023BBA5F34B},WW-005,466638.04023200000,2022888200.43000000000
